coach,year,team,position,squad
Bill Clark,2020,UAB,HC,2020 UAB
Chip Kelly,2020,UCLA,HC,2020 UCLA
Marcus Arroyo,2020,UNLV,HC,2020 UNLV
Clay Helton,2020,USC,HC,2020 USC
Kyle Whittingham,2020,Utah,HC,2020 Utah
Gary Andersen,2020,Utah State,HC,2020 Utah State
Dana Dimel,2020,UTEP,HC,2020 UTEP
Jeff Traylor,2020,UTSA,HC,2020 UTSA
Derek Mason,2020,Vanderbilt,HC,2020 Vanderbilt
Bronco Mendenhall,2020,Virginia,HC,2020 Virginia
Justin Fuente,2020,Virginia Tech,HC,2020 Virginia Tech
Dave Clawson,2020,Wake Forest,HC,2020 Wake Forest
Jimmy Lake,2020,Washington,HC,2020 Washington
Nick Rolovich,2020,Washington State,HC,2020 Washington State
Neal Brown,2020,West Virginia,HC,2020 West Virginia
Tyson Helton,2020,Western Kentucky,HC,2020 Western Kentucky
Tim Lester,2020,Western Michigan,HC,2020 Western Michigan
Paul Chryst,2020,Wisconsin,HC,2020 Wisconsin
Craig Bohl,2020,Wyoming,HC,2020 Wyoming
Bo Pelini,2020,LSU,DC,2020 LSU
Bob Stoops,2020,Dallas Renegades,HC,2020 Dallas Renegades
Bobby Petrino,2020,Missouri State,HC,2020 Missouri State
Joe Moorhead,2020,Oregon,OC,2020 Oregon
Matt Rhule,2020,Panthers,HC,2020 Panthers
Troy Calhoun,2019,Air Force,HC,2019 Air Force
Tom Arth,2019,Akron,HC,2019 Akron
Nick Saban,2019,Alabama,HC,2019 Alabama
Shawn Clark,2019,Appalachian State,AHC,2019 Appalachian State
Kevin Sumlin,2019,Arizona,HC,2019 Arizona
Herm Edwards,2019,Arizona State,HC,2019 Arizona State
Sam Pittman,2019,Georgia,AHC,2019 Georgia
Blake Anderson,2019,Arkansas State,HC,2019 Arkansas State
Jeff Monken,2019,Army,HC,2019 Army
Gus Malzahn,2019,Auburn,HC,2019 Auburn
Mike Neu,2019,Ball State,HC,2019 Ball State
Dave Aranda,2019,LSU,DC,2019 LSU
Bryan Harsin,2019,Boise State,HC,2019 Boise State
Jeff Hafley ,2019,Ohio State,co-DC,2019 Ohio State
Scot Loeffler,2019,Bowling Green,HC,2019 Bowling Green
Lance Leipold,2019,Buffalo,HC,2019 Buffalo
Kalani Sitake,2019,BYU,HC,2019 BYU
Justin Wilcox,2019,California,HC,2019 California
Josh Heupel,2019,Central Florida,HC,2019 Central Florida
Jim McElwain,2019,Central Michigan,HC,2019 Central Michigan
Will Healy,2019,Charlotte,HC,2019 Charlotte
Luke Fickell,2019,Cincinnati,HC,2019 Cincinnati
Dabo Swinney,2019,Clemson,HC,2019 Clemson
Joe Moglia,2019,Coastal Carolina,HC,2019 Coastal Carolina
Steve Addazio,2019,Boston College,HC,2019 Boston College
Randy Edsall,2019,Connecticut,HC,2019 Connecticut
David Cutcliffe,2019,Duke,HC,2019 Duke
Mike Houston,2019,East Carolina,HC,2019 East Carolina
Chris Creighton,2019,Eastern Michigan,HC,2019 Eastern Michigan
Dan Mullen,2019,Florida,HC,2019 Florida
Willie Taggart,2019,Florida State,HC,2019 Florida State
Butch Davis,2019,Florida International,HC,2019 Florida International
Mike Norvell,2019,Memphis,HC,2019 Memphis
Kalen DeBoer,2019,Indiana,OC,2019 Indiana
Kirby Smart,2019,Georgia,HC,2019 Georgia
Chad Lunsford,2019,Georgia Southern,HC,2019 Georgia Southern
Shawn Elliott,2019,Georgia State,HC,2019 Georgia State
Geoff Collins,2019,Georgia Tech,HC,2019 Georgia Tech
Dana Holgorsen,2019,Houston,HC,2019 Houston
Lovie Smith,2019,Illinois,HC,2019 Illinois
Tom Allen,2019,Indiana,HC,2019 Indiana
Kirk Ferentz,2019,Iowa,HC,2019 Iowa
Matt Campbell,2019,Iowa State,HC,2019 Iowa State
Les Miles,2019,Kansas,HC,2019 Kansas
Chris Klieman,2019,Kansas State,HC,2019 Kansas State
Sean Lewis,2019,Kent State,HC,2019 Kent State
Mark Stoops,2019,Kentucky,HC,2019 Kentucky
Hugh Freeze,2019,Liberty,HC,2019 Liberty
Skip Holtz,2019,Louisiana Tech,HC,2019 Louisiana Tech
Billy Napier,2019,Louisiana-Lafayette,HC,2019 Louisiana-Lafayette
Matt Viator,2019,Louisiana-Monroe,HC,2019 Louisiana-Monroe
Scott Satterfield,2019,Louisville,HC,2019 Louisville
Ed Orgeron,2019,LSU,HC,2019 LSU
Doc Holliday,2019,Marshall,HC,2019 Marshall
Mike Locksley,2019,Maryland,HC,2019 Maryland
Walt Bell,2019,Massachusetts,HC,2019 Massachusetts
Manny Diaz,2019,Miami FL,HC,2019 Miami FL
Chuck Martin,2019,Miami OH,HC,2019 Miami OH
Jim Harbaugh,2019,Michigan,HC,2019 Michigan
Mel Tucker,2019,Colorado,HC,2019 Colorado
Rick Stockstill,2019,Middle Tennessee,HC,2019 Middle Tennessee
P. J. Fleck,2019,Minnesota,HC,2019 Minnesota
Mike Leach,2019,Washington State,HC,2019 Washington State
Eliah Drinkwitz,2019,Appalachian State,HC,2019 Appalachian State
Ken Niumatalolo,2019,Navy,HC,2019 Navy
Scott Frost,2019,Nebraska,HC,2019 Nebraska
Jay Norvell,2019,Nevada,HC,2019 Nevada
Danny Gonzales,2019,Arizona State,DC,2019 Arizona State
Doug Martin,2019,New Mexico State,HC,2019 New Mexico State
Mack Brown,2019,North Carolina,HC,2019 North Carolina
Dave Doeren,2019,North Carolina State,HC,2019 North Carolina State
Seth Littrell,2019,North Texas,HC,2019 North Texas
Thomas Hammock,2019,Northern Illinois,HC,2019 Northern Illinois
Pat Fitzgerald,2019,Northwestern,HC,2019 Northwestern
Brian Kelly,2019,Notre Dame,HC,2019 Notre Dame
Frank Solich,2019,Ohio,HC,2019 Ohio
Ryan Day,2019,Ohio State,HC,2019 Ohio State
Lincoln Riley,2019,Oklahoma,HC,2019 Oklahoma
Mike Gundy,2019,Oklahoma State,HC,2019 Oklahoma State
Ricky Rahne,2019,Penn State,OC,2019 Penn State
Lane Kiffin,2019,Florida Atlantic,HC,2019 Florida Atlantic
Mario Cristobal,2019,Oregon,HC,2019 Oregon
Jonathan Smith,2019,Oregon State,HC,2019 Oregon State
James Franklin,2019,Penn State,HC,2019 Penn State
Pat Narduzzi,2019,Pitt,HC,2019 Pitt
Jeff Brohm,2019,Purdue,HC,2019 Purdue
Mike Bloomgren,2019,Rice,HC,2019 Rice
Brady Hoke,2019,San Diego State,DL,2019 San Diego State
Brent Brennan,2019,San Jose State,HC,2019 San Jose State
Sonny Dykes,2019,SMU,HC,2019 SMU
Steve Campbell,2019,South Alabama,HC,2019 South Alabama
Will Muschamp,2019,South Carolina,HC,2019 South Carolina
Jeff Scott,2019,Clemson,co-OC,2019 Clemson
Jay Hopson,2019,Southern Miss,HC,2019 Southern Miss
David Shaw,2019,Stanford,HC,2019 Stanford
Dino Babers,2019,Syracuse,HC,2019 Syracuse
Gary Patterson,2019,TCU,HC,2019 TCU
Rod Carey,2019,Temple,HC,2019 Temple
Jeremy Pruitt,2019,Tennessee,HC,2019 Tennessee
Tom Herman,2019,Texas,HC,2019 Texas
Jimbo Fisher,2019,Texas A&M,HC,2019 Texas A&M
Jake Spavital,2019,Texas State,HC,2019 Texas State
Matt Wells,2019,Texas Tech,HC,2019 Texas Tech
Jason Candle,2019,Toledo,HC,2019 Toledo
Chip Lindsey,2019,Troy,HC,2019 Troy
Willie Fritz,2019,Tulane,HC,2019 Tulane
